danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo,pais
0.656,Guilherme & Benuto,0redQHBfejmPUhonR5ppGC,Duas Três,5,0.842,0.574,156942,-3.746,0.201,159.918,BRA
0.418,Matheus & Kauan,4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,1,0.925,0.396,169836,-2.941,0.385,71.49,BRA
0.654,Israel & Rodolffo,0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,0.948,0.3,154702,-3.672,0.0548,158.054,BRA
0.483,Henrique & Juliano,0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,11,0.91,0.13,172005,-3.474,0.0845,166.057,BRA
0.61,Hugo & Guilherme,7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,11,0.818,0.469,171730,-5.202,0.0589,158.022,BRA
0.921,KayBlack,5TtTijiNYtFc6ktQARjY30,Preferida,3,0.461,0.13,130375,-10.0,0.495,120.035,BRA
0.568,Luan Pereira,3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,4,0.661,0.309,179600,-3.148,0.232,85.402,BRA
0.65,Clayton & Romário,0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,0,0.677,0.643,168359,-4.081,0.0328,135.947,BRA
0.636,Gustavo Mioto,4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,0,0.909,0.149,148800,-3.685,0.0439,154.189,BRA
0.691,Grupo Menos É Mais,4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,4,0.752,0.708,159323,-6.796,0.157,167.073,BRA
0.799,KayBlack,6hu4HvpNzrW2RIEEAZC3vD,Segredo,7,0.49,0.332,104145,-6.788,0.178,86.272,BRA
0.732,WIU,7nFvKgVumc9FcU97zGjjei,Coração de Gelo,10,0.671,0.124,168000,-4.276,0.082,159.907,BRA
0.652,MC PH,156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),10,0.481,0.044,177552,-8.446,0.0779,173.555,BRA
0.7,Gustavo Mioto,1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,2,0.914,0.168,144298,-3.047,0.0539,149.918,BRA
0.644,Henrique & Juliano,7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,5,0.872,0.308,181458,-4.187,0.0563,142.02,BRA
