source,target
The Weeknd,PAK
Rap Demon,PAK
Eslabon Armado,PAN
Grupo Frontera,PAN
Feid,PAN
Yandel,PAN
KAROL G,PAN
Yng Lvcas,PAN
Ozuna,PAN
Shakira,PAN
Feid,PAN
Feid,PAN
Eladio Carrion,PAN
BARBEL,PAN
ROSALÍA,PAN
Feid,PAN
Robi Guid,PAN
Manuel Turizo,PAN
BARBEL,PAN
Feid,PAN
LH,PAN
KAROL G,PAN
Nerry Money,PAN
Bad Bunny,PAN
Taiu,PAN
Arcángel,PAN
Bad Bunny,PAN
Mora,PAN
Bizarrap,PAN
KAROL G,PAN
Peso Pluma,PAN
Yemil,PAN
LH,PAN
Bizarrap,PAN
Bad Bunny,PAN
Anuel AA,PAN
Eladio Carrion,PAN
BTS,PAN
KAROL G,PAN
Natanael Cano,PAN
Jimmix,PAN
Bring55,PAN
Anuel AA,PAN
SMILE BEATS,PAN
Feid,PAN
J Balvin,PAN
KAROL G,PAN
Bad Bunny,PAN
Miley Cyrus,PAN
Quevedo,PAN
Rauw Alejandro,PAN
Mole,PAN
Grupo Frontera,PER
Feid,PER
Yng Lvcas,PER
Yandel,PER
Eslabon Armado,PER
KAROL G,PER
Ozuna,PER
